,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3
355,2.02108E+11,37.19,115.93,22.68,0,0,1.620000112,4.6284676,7.2298136
356,2.02108E+11,37.74,115.66,23.08,0,0,1.470000017,5.059104,8.494235
357,2.02108E+11,37.75,115.66,28.15,0,0,1.470000017,4.8717737,8.6085615
358,2.02108E+11,37.67,115.07,25.37,0.8800432,375,3.099999623,6.5250683,9.553697
359,2.02108E+11,37.45,115.37,25.78,0.44065044,375,2.069999697,5.7000127,8.133579
360,2.02108E+11,36.57,114.9,27.82,0,0,0.739999756,7.7464314,8.120065
361,2.02108E+11,39.41,118.33,21.44,1.5485975,250,1.420000335,5.33276,6.165211
362,2.02108E+11,39.22,116.64,20.29,0.22362177,375,1.56000047,5.7098155,8.889786
363,2.02108E+11,37.8,114.98,20.52,0.99559424,3625,0.960000034,2.9068754,3.9465475
364,2.02108E+11,37.94,115.14,20.27,0.8003741,3500,1.459999941,3.7148511,4.008437
365,2.02108E+11,38.62,115.89,26.16,0.36490877,375,1.909999992,4.4779887,3.6609638
366,2.02108E+11,38.65,115.93,30.03,0.5453069,125,2.129999921,4.1430163,4.5032125
367,2.02108E+11,38.55,115.87,32.17,0.6421434,375,1.909999759,4.2033205,4.52569
368,2.02108E+11,37.81,115.46,35.14,1.0079279,3500,1.760000014,3.940317,5.6200633
369,2.02108E+11,39.28,116.59,22.57,0.23004513,375,0.689999899,1.5989724,6.959638
370,2.02108E+11,37.75,115.67,24.22,1.0079124,3875,1.309999847,3.3696303,5.8586063
371,2.02108E+11,38.34,115.86,22.7,0.14978973,375,1.10000011,4.5725327,3.7962692
372,2.02108E+11,38.38,116.12,26.27,0.39650866,375,1.379999798,4.4189563,4.62079
373,2.02108E+11,37.88,115.86,22.6,0.8809266,3875,1.30000012,4.107016,6.349448
374,2.02108E+11,38.28,116.3,26.87,0.24456998,750,1.120000379,4.818493,4.943555
375,2.02108E+11,38.74,116.37,20.65,0.82776896,375,1.049999963,4.0766053,5.278491
376,2.02108E+11,37.98,116.12,47.85,0.763138,3875,0.959999801,4.729512,6.1972027
377,2.02108E+11,38.05,116.48,24.4,0.75030664,3875,1.569999615,4.4472194,5.681174
378,2.02108E+11,38.03,116.46,20.7,0.91319016,3875,1.660000067,4.7125525,5.786125
379,2.02108E+11,38.05,116.64,20.13,0.75384436,3875,1.860000077,4.418546,5.6678424
380,2.02108E+11,37.79,116.6,21.76,1.4924078,3875,1.270000008,3.835676,6.1748447
381,2.02108E+11,37.8,116.61,31.11,1.2898228,3500,1.270000241,4.480397,6.450401
382,2.02108E+11,39.66,116.79,22.65,0.4682536,2625,1.859999844,5.701243,6.946747
383,2.02108E+11,39.36,117.79,20.2,0.15541067,2875,1.180000021,3.80708,8.51974
384,2.02108E+11,39.33,117.8,20.15,0.1525597,2875,1.360000111,3.7814713,8.581738
385,2.02108E+11,39.48,117.72,23.91,0.3998496,1375,1.840000041,3.12363,7.8371954
386,2.02108E+11,39.1,117.43,24.11,0.33669996,3875,0.989999971,4.6689553,11.228866
387,2.02108E+11,38.71,117.43,26.18,0.43720156,3875,1.689999597,6.099946,9.413977
388,2.02108E+11,38.67,117.52,25.57,0.34512945,3875,0.920000079,5.6617208,9.281125
389,2.02108E+11,39.32,116.88,28.92,0,0,0.989999855,3.0716193,6.262839
390,2.02108E+11,39.07,117.18,20.48,0,0,1.549999812,5.014932,8.018983
391,2.02108E+11,38.81,117.17,21.3,0.28202614,1125,1.670000027,4.7585387,8.478613
392,2.02108E+11,38.46,117.38,20.71,0.40005787,1250,1.330000116,3.9202254,7.1808023
393,2.02108E+11,38.69,116.9,27.04,0.8292157,3875,1.12000003,5.2227488,10.00219
394,2.02108E+11,38.33,117.28,20.02,1.02664635,2625,0.239999776,8.581255,11.871722
395,2.02108E+11,36.63,115.15,22.59,2.882539,500,4.239999689,7.5640383,12.113665
396,2.02108E+11,36.87,115,36.01,2.8782763,500,4.590000026,6.438623,11.718847
397,2.02108E+11,36.51,115.16,20.72,2.8757146,500,4.250000231,8.120045,11.751601
398,2.02108E+11,36.48,115.23,24.47,2.6727596,500,4.499999806,8.0886345,11.47699
399,2.02108E+11,38.93,117.88,30.14,1.3360094,500,0.500000257,1.9588841,3.6560097
400,2.02108E+11,39.04,117.14,20.75,0,0,0.350000162,4.1861224,6.1820316
