,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3,mfc
133,202206280600,37.88,117.18,35.32,1.4776475999999998,250.0,1.7100003315135837,7.41283,10.488453,2.4180434
134,202206280610,37.88,117.33,37.99,1.3940089,250.0,2.309999894350767,7.008503,9.8901,3.436662
135,202206281040,37.81,117.42,25.53,1.6608117,250.0,2.909999806433916,6.999536,10.061665,4.87082
136,202206290820,39.27,118.24,22.59,1.4960881000000001,1000.0,1.779999933205545,4.2785845,7.259089,1.7596465
137,202206301250,38.0,116.29,29.15,1.1493924,1125.0,1.669999910518527,3.9583623,4.9659047,2.4213479
138,202206301330,37.92,116.0,20.25,1.4278268,1000.0,2.0899998489767313,4.26102,5.5715795,2.6559196
139,202207010610,38.99,118.16,22.46,1.07962274,3500.0,1.5799999237060547,3.8850603,4.3497267,1.8979658
140,202207010740,38.99,118.16,23.16,1.10765395,250.0,2.8099999763071537,3.519979,3.9291847,4.6818204
141,202207010850,38.97,118.46,20.5,1.8107172,375.0,2.7999996673315763,5.385532,5.5699553,2.6726387
142,202207022140,38.94,117.35,30.24,1.151248,125.0,3.2299994491040707,5.1989827,6.604367,4.561073
143,202207022310,39.07,117.08,27.63,1.02194754,250.0,1.4300000621005893,6.6672897,8.465739,3.2184026
144,202207022340,38.97,117.56,25.96,1.0048222999999998,250.0,1.6300000716000795,8.057215,8.609097,4.7120013
145,202207030350,36.69,114.91,23.9,1.0332972,875.0,1.0999998776242137,2.738446,11.158437,2.1003747
146,202207050920,37.68,115.04,30.09,1.0073839,250.0,2.730000065639615,7.377302,7.8794656,9.327487
147,202207050940,37.81,115.11,27.64,1.443625,375.0,3.539999946951866,7.6182275,8.318985,17.154766
148,202207051150,38.6,115.87,33.84,1.0263454,250.0,2.4100004229694605,5.406361,8.542516,2.784914
149,202207051210,38.6,115.88,23.77,1.05616295,125.0,1.9000001484528184,5.250477,8.716873,2.3848803
150,202207051310,38.61,116.38,29.83,1.17715754,750.0,1.349999918602407,6.2678013,8.018824,1.6029769
151,202207051330,38.52,116.51,22.57,1.4101654000000001,250.0,2.059999853372574,7.504463,8.5888605,3.4799864
152,202207051620,38.72,116.55,21.45,1.251954,375.0,2.379999728873372,7.435277,8.528368,3.9473815
153,202207051710,38.47,116.91,22.87,2.0299834,250.0,2.0299998577684164,9.108124,7.9985175,3.2669246
154,202207051720,38.74,116.57,22.53,1.3097565999999998,375.0,1.330000115558505,7.5675297,8.718309,2.2646887
155,202207091440,38.03,117.17,27.79,1.0936769,250.0,2.0099999383091927,5.621696,8.5226755,2.7742083
156,202207091550,39.45,117.29,28.64,1.2549786,3875.0,1.3099999632686377,5.1123075,7.475628,4.2098074
157,202207091740,39.03,117.73,22.96,2.6216466,250.0,1.9799997098743916,6.320256,7.8573375,3.8993046
158,202207091910,36.95,115.32,22.35,1.2923923,250.0,1.829999964684248,18.808462,13.942693,4.0681705
159,202207092000,36.86,115.54,25.6,1.1631111,3000.0,0.750000006519258,18.631329,11.325978,2.2303538
160,202207092010,37.59,115.64,23.46,1.1701091000000001,625.0,1.0100002400577068,15.333793,14.273871,4.9247727
161,202207092020,37.14,115.71,24.42,1.0532773,3000.0,0.3599996562115848,17.316013,13.62721,1.6216089
162,202207092200,37.68,115.85,24.7,1.2476718999999998,625.0,1.3199999229982495,10.922709,16.651058,2.2185214
163,202207111520,37.68,115.85,26.72,1.3463561,500.0,1.180000021122396,10.057653,16.157646,3.5720148
164,202207160910,37.9,116.2,27.8,1.7114347,1875.0,0.4500002833083272,10.894111,19.440432,2.5925658
165,202207221050,38.22,116.92,20.24,2.1135181,1750.0,1.0099997743964195,6.426427,18.656261,3.1997964
166,202207252050,37.55,115.89,20.72,1.0208401999999999,750.0,0.7999999797903001,8.991195,6.9426284,3.6640298
167,202207252100,37.55,115.8,22.34,1.1485242999999998,750.0,0.7100001676008105,9.700974,7.231335,2.8717742
168,202207260220,37.52,115.82,20.34,1.12450136,625.0,0.8599994471296668,9.891704,7.5162654,3.3498778
169,202207260250,37.58,115.64,35.07,1.5596929,1750.0,0.7200000109151006,8.8259735,6.614048,2.7918212
170,202207260310,37.51,115.77,41.4,1.0518421,2500.0,0.5899996613152325,8.370478,5.9293804,5.180293
171,202207270500,39.56,116.63,31.06,1.0407893,375.0,0.40000033914111555,2.4652982,5.2168317,0.61217743
172,202207270510,39.51,116.65,26.71,1.1129471,375.0,0.5600001895800233,2.4448657,4.645851,0.7732111
173,202207270530,39.5,116.61,23.82,1.0799236,375.0,0.5499997059814632,2.4337566,4.4287286,0.6897484
174,202207271520,37.57,115.74,21.47,2.9989623,625.0,1.5299997758120298,6.5947695,9.375615,1.3632708
175,202207271550,38.13,115.38,26.75,1.7587861999999999,2125.0,0.5600008880719543,8.654732,8.101713,1.8905388
176,202207271650,38.2,115.53,23.11,1.8696077,2125.0,0.5300001939758658,9.155621,8.418696,1.9338878
177,202207271700,38.2,115.62,24.76,1.9927510000000002,2125.0,0.5600008880719543,9.206873,9.038566,2.3965843
178,202207271710,38.22,115.7,24.0,1.917048,2125.0,0.3300003882031888,9.205221,9.281786,1.9278239
